time_s,potential_energy_J,kinetic_energy_J,generator_energy_J
0.29,3.247285090862293e+20,6.34051760309618e+20,8.383282988990695e+19
0.291,4.187007145793571e+20,5.329836080236549e+20,8.412597087431996e+19
0.292,4.948288991208358e+20,4.972142189677623e+20,8.439943869475222e+19
0.293,4.949817515140349e+20,5.1108176003233926e+20,8.468053366277e+19
0.294,4.950545466872299e+20,4.746145943800299e+20,8.494157168967903e+19
0.295,5.7421079347197044e+20,3.664491584221298e+20,8.51431187268112e+19
0.296,6.802738445504511e+20,2.9967029284778004e+20,8.530793738787748e+19
0.297,6.747474614375248e+20,3.9166060365227006e+20,8.552335071988623e+19
0.298,5.0698457223443186e+20,6.005785570707276e+20,8.585366892627513e+19
0.299,3.0583201121774214e+20,7.447524746215332e+20,8.626328278731697e+19
0.3,2.5272886273196415e+20,6.97520123550996e+20,8.664691885527002e+19
0.301,3.818695371599804e+20,5.252310084570173e+20,8.693579590992139e+19
0.302,5.5069578498123996e+20,3.987342519705006e+20,8.715509974850517e+19
0.303,6.147335209804936e+20,3.9386560499690694e+20,8.737172583125348e+19
0.304,5.824750011506103e+20,4.327538040701021e+20,8.760974042349203e+19
0.305,5.626931373675607e+20,4.221905708594087e+20,8.78419452374647e+19
0.306,5.959351581126656e+20,3.8815724894181825e+20,8.80554317243827e+19
0.307,6.019661535768146e+20,4.3285317382572723e+20,8.829350096998685e+19
0.308,4.943024376159161e+20,5.8137286240440386e+20,8.861325604430927e+19
0.309,3.260280674105878e+20,7.318160022729074e+20,8.901575484555936e+19
0.31,2.3103622829137582e+20,7.430477309730064e+20,8.942443109759451e+19
0.311,3.1427540942454994e+20,5.751572553050698e+20,8.97407675880123e+19
0.312,5.3692894957306597e+20,3.4117134988398284e+20,8.992841183044849e+19
0.313,7.342776499596695e+20,2.2104909119469116e+20,9.004998883060557e+19
0.314,7.541301857887264e+20,3.000292676531571e+20,9.021500492781481e+19
0.315,6.021603578661205e+20,4.816781726321278e+20,9.047992792276248e+19
0.316,4.3828788972707735e+20,5.90861833390383e+20,9.08049019311272e+19
0.317,3.9795266420926664e+20,5.743852628733109e+20,9.11208138257075e+19
0.318,4.3847020325189596e+20,5.485875339066361e+20,9.142253696935617e+19
0.319,4.2139168605116334e+20,6.123191394252272e+20,9.175931249604003e+19
0.32,3.3463229567668126e+20,6.787259395757874e+20,9.213261176280672e+19
0.321,3.3391431898936934e+20,5.8545541334655035e+20,9.245461224014732e+19
0.322,5.178239937634128e+20,3.4767271864757794e+20,9.264583223540348e+19
0.323,7.493612757452363e+20,1.8550939238612287e+20,9.274786240121584e+19
0.324,7.97118788057608e+20,2.6381902671816124e+20,9.289296286591082e+19
0.325,6.171762157322008e+20,4.9437318007721676e+20,9.316486811495329e+19
0.326,3.952253275730211e+20,6.593708918512752e+20,9.352752210547148e+19
0.327,3.1076960391410994e+20,6.67284759287462e+20,9.38945287230796e+19
0.328,3.540110952964864e+20,6.059415968639757e+20,9.422779660135478e+19
0.329,4.0582493055877775e+20,5.759867469898864e+20,9.454458931219921e+19
0.33,4.1842117305132e+20,5.634764636535384e+20,9.485450136720866e+19
0.331,4.516347005944433e+20,4.9388094299064055e+20,9.51261358858535e+19
0.332,5.609873374996556e+20,3.5570091521824725e+20,9.532177138922355e+19
0.333,7.040273646118523e+20,2.3918306029627415e+20,9.54533220723865e+19
0.334,7.621890172910948e+20,2.6327357740083905e+20,9.559812253995696e+19
0.335,6.468834246841447e+20,4.588704931621252e+20,9.585050131119614e+19
0.336,4.018110470384453e+20,7.069567933788688e+20,9.623932754755451e+19
0.337,2.018339215906501e+20,8.149765169472242e+20,9.668756463187549e+19
0.338,2.0783494457249848e+20,6.990400597510088e+20,9.707203666473855e+19
0.339,4.0008744414987905e+20,4.813956913600233e+20,9.733680429498656e+19
0.34,5.8897767489000505e+20,3.595115054348286e+20,9.753453562297572e+19
0.341,6.319610046587628e+20,3.7884333087971076e+20,9.774289945495955e+19
0.342,5.854991506758487e+20,4.1304921242546694e+20,9.797007652179355e+19
0.343,5.898760554322211e+20,3.676201764446061e+20,9.817226761883809e+19
0.34400000000000003,6.532242440003424e+20,3.257330630921465e+20,9.835142080353876e+19
0.34500000000000003,6.335247504796651e+20,4.308151636259115e+20,9.858836914353301e+19
0.34600000000000003,4.4641205384411965e+20,6.669230024846491e+20,9.895517679489956e+19
0.34700000000000003,2.1448732253978745e+20,8.354809304675633e+20,9.941469130665673e+19
0.34800000000000003,1.5492223459191816e+20,7.665786903656742e+20,9.983630958635785e+19
